cast,director,movieId
"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette",John Lasseter,862
"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth, David Alan Grier, Patricia Clarkson, Adam Hann-Byrd, Laura Bell Bundy, James Handy, Gillian Barber, Brandon Obray, Cyrus Thiedeke, Gary Joseph Thorup, Leonard Zola, Lloyd Berry, Malcolm Stewart, Annabel Kershaw, Darryl Henriques, Robyn Driscoll, Peter Bryant, Sarah Gilson, Florica Vlad, June Lion, Brenda Lockmuller",Joe Johnston,8844
"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Natalie Portman, Ted Levine, Tom Noonan, Tone Loc, Hank Azaria, Wes Studi, Dennis Haysbert, Danny Trejo, Henry Rollins, William Fichtner, Kevin Gage, Susan Traylor, Jerry Trimble, Ricky Harris, Jeremy Piven, Xander Berkeley, Begonya Plaza, Rick Avery, Hazelle Goodman, Ray Buktenica, Max Daniels, Vince Deadrick Jr., Steven Ford, Farrah Forke, Patricia Healy, Paul Herman, Cindy Katz, Brian Libby, Dan Martin, Mario Roberts, Thomas Rosales, Jr., Yvonne Zima, Mick Gould, Bud Cort, Viviane Vives, Kim Staunton, Martin Ferrero, Brad Baldridge, Andrew Camuccio, Kenny Endoso, Kimberly Flynn, Niki Harris, Bill McIntosh, Rick Marzan, Terry Miller, Daniel O'Haco, Kai Soremekun, Peter Blackwell, Trevor Coppola, Mary Kircher, Darin Mangan, Robert Miranda, Manny Perry, Iva Franks Singer, Tim Werner, Philip Ettington",Michael Mann,949
"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Gottfried John, Robbie Coltrane, Alan Cumming, Tchéky Karyo, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Billy J. Mitchell, Constantine Gregory, Minnie Driver, Michelle Arthur, Ravil Isyanov",Martin Campbell,710
"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide, Stan Shaw, Rex Linn, Paul Dillon, Christopher Masterson, Jimmie F. Skaggs, Harris Yulin, Carl Chase, Peter Geeves, Angus Wright, Ken Bones, Mary Peach, Thomas Lockyer, Roger Booth, George Murcell, Simon Atherton, Dickey Beer, Christopher Halliday, Chris Johnston, Richard Leaf, Tam White, Rupert Vansittart, Nick Bartlett, David Bailie, Kwame Kwei-Armah, Ramon Tikaram, Christopher Adamson",Renny Harlin,1408
"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, Pasquale Cajano, L.Q. Jones, Dick Smothers, Frank Vincent, Oscar Goodman, Richard Riehle, Catherine Scorsese, Vinny Vella, Nobu Matsuhisa, Erika von Tagen, Nick Mazzola, David Rose, John Bloom, Joseph Rigano, Philip Suriano, Melissa Prophet, Bill Allison, Joe La Due, Joseph P. Reidy, Craig Vincent, Carl Ciarfalio, Gene Ruffini, Dominick Grieco, Clem Caserta, Daniel P. Conte, Joey DePinto, Jack Orend, Paul Herman, Jed Mills, Claudia Haro, Ffolliott Le Coque, John Manca, Ronald Maccone, Joseph Bono, Frank Adonis, Anthony Russell, Stuart Nisbet, Alfred Nittoli",Martin Scorsese,524
"Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman, Imogen Stubbs, Greg Wise, Hugh Laurie, Imelda Staunton, Robert Hardy, Oliver Ford Davies, James Fleet, Harriet Walter, Gemma Jones, Emilie François, Elizabeth Spriggs, Richard Lumsden",Ang Lee,4584
"Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis, Quentin Tarantino, Sammi Davis, Amanda de Cadenet, Valeria Golino, Lili Taylor, Lawrence Bender, Ione Skye, Alicia Witt, David Proval, Lana McKissack, Tamlyn Tomita, Kathy Griffin, Paul Calderon, Salma Hayek, Patricia Vonne, Danny Verduzco, Kimberly Blair, Marc Lawrence","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",5
"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Bobby Slayton, Linda Hart, Jeffrey J. Stephen",Barry Sonnenfeld,8012
"Sigourney Weaver, Holly Hunter, Will Patton, William McNamara, Harry Connick Jr., J.E. Freeman, Dermot Mulroney, John Rothman, Shannon O'Hurley, Bob Greene, Tony Haney, Danny Kovacs, Tahmus Rounds, Scott Devenney, David Michael Silverman",Jon Amiel,1710
"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams, Emily Procter, Stuart Reynolds , Valeria Golino, Graham Beckel, Mariska Hargitay, Laurie Metcalf, Shawnee Smith, David Kriegel",Mike Figgis,451
"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus, Geneviève Brunet, Odile Mallet, Mireille Mossé, Serge Merlin, Rufus, Ticky Holgado, Cris Huerta, Jean-Louis Trintignant, Joseph Lucien, Mapi Galán, Briac Barthélémy, Pierre-Quentin Faesch, Alexis Pivot, François Hadji-Lazaro, Dominique Bettenfeld, Lotfi Yahya Jedidi, Thierry Gibault, Marc Caro, Ham-Chau Luong, Frankie Pain, Enrique Villanueva, Dominique Chevalier, Lorella Cravotta, Éric Houzelot, Philippe Beautier, Marc Amyot, Jean-Philippe Labadie, Raphaèle Bouchard, Elisabeth Etienne, Rachel Boulenger, Michel Motu, Nane Germon","Jean-Pierre Jeunet, Marc Caro",902
"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda, Frank Gorshin, Joseph Melito, Aaron Michael Lacey, Christopher Meloni, Joey Perillo, LisaGay Hamilton, Matt Ross, Annie Golden, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Rozwill Young, Nell Johnson, Frederick Strother, Charles Techman, Rick Warner, Anthony 'Chip' Brienza, Bruce Kirkpatrick, Wilfred Williams, Joilet Harris, Drucie McDaniel, John Blaisse, Louis Lippa, Stan Kang, Pat Dias, Felix Pire, Karl Warren, Joseph McKenna, Stephen Bridgewater, Ray Huffman, Charley Scalies, Robert O'Neill, Paul Meshejian, Kevin Thigpen, Harry O'Toole, Jann Ellis, Michael Ryan Segal, Korchenko, Chuck Jeffreys, Barry Price, John Panzarella, Janet Zappala, Lisa Talerico, Tiffany Baldwin, C.J. Byrnes, Tom Detrik, Joe Gerety, Renee Spei, Bonnie Loev, Raymond Mamrak, Sal Mazzotta, Allelon Ruggiero, Thang",Terry Gilliam,63
"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston, Lois Smith, Scott Wilson, Roberta Maxwell, Margo Martindale, Jack Black, Ray Aranha, Peter Sarsgaard, Barton Heyman, Steve Boles, Nesbitt Blaisdell, Larry Pine, Kevin Cooney, Clancy Brown, Michael Cullen, Missy Yager, Jenny Krochmal, Jon Abrahams, Arthur Bridgers, Steve Carlisle, Eva Amurri Martino, Jack Henry Robbins, Dennis Neal, Molly Bryant, Adele Robbins, Pete Burris, Joan Glover, Lenore Banks, Scott Sowers, Cortez Nance Jr., Adam Nelson, Jeremy Knaster, Marcus Lyle Brown, Anthony Michael Frederick, Thomas McGowan, Codie Scott, Helen Prejean",Tim Robbins,687
"Peter Reznick, John McDonough, Avi Hoffman, Matt Malloy, Abby Lewis",Stephen Low,139405
"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Alison Folland, Dan Hedaya, Wayne Knight, David Cronenberg, Kurtwood Smith, Holland Taylor, Susan Traylor, Maria Tucci, Tim Hopper",Gus Van Sant,577
"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey, R. Lee Ermey, Richard Roundtree, Richard Schiff, Julie Araskog, Mark Boone Junior, John Cassini, Reg E. Cathey, Peter Crombie, Hawthorne James, Michael Massee, Leland Orser, Richard Portnow, Daniel Zacapa, Alfonso Freeman, Harris Savides, Andrew Kevin Walker, Richmond Arquette, Pamala Tyson, Emily Wagner, Shannon Wilcox, George Christy, Endre Hules, William Davidson, Bob Collins, Dominique Jennings, Allan Kolman, Gene Borkan, Mario Di Donato, Harrison White, Bob Stephenson, Michael Reid MacKay, Lennie Loftin, Martin Serene, David Correia, Lexie Bigham, Evan Mirand, Paul Eckstein, Rachel Flanagan, Heidi Schanz, Brian Evers, James Deeth, Charles A. Tamburro, Charles S. Dutton, Arthur Max",David Fincher,807
"Pascale Bussières, Rachael Crawford, Henry Czerny, Don McKellar",Patricia Rozema,8391
"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Kevin Spacey, Suzy Amis, Giancarlo Esposito, Benicio del Toro, Dan Hedaya, Paul Bartel, Carl Bressler, Christine Estabrook, Clark Gregg, Morgan Hunter, Louis Lombardi, Frank Medrano, Ron Gilbert",Bryan Singer,629
"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy, Alicia Witt, Nicholas John Renner, Joseph Anderson, Anthony Natale, Jean Louisa Kelly, Terrence Howard, Damon Whitaker, Alexandra Boyd, Joanna Gleason, Beth Maitland, Joshua Minnick",Stephen Herek,2054
"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado, Catherine Hiegel, Katrine Boorman, Telsche Boorman, Véronique Barrault",Josiane Balasko,4482
"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston, John Hawkes, Tito Larriva, Peter Atanasoff, Johnny Vatos Hernandez, Aimee Graham, Heidi McNeal, Ernest M. Garcia, Gregory Nicotero, Cristos, Mike Moroff, Tia Texada, Janine Jordae, Ungela Brockman, Michelle Berube, Michael McKay, Jake McKinnon, Walter Phelan, Wayne Toth",Robert Rodriguez,755
"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright, Piper Laurie, Richard Bradford, Priscilla Barnes, David Baerwald, Robbie Robertson, John Savage, Kari Wuhrer, Jennifer Leigh Warren, Kellita Smith, Bobby Cooper, Jeff Morris, Buddy Anderson, Edward L. Katz, Joe Viterelli, Eileen Ryan, Ryo Ishibashi, Dennis Fanning, Lisa Crawford, Jay Koiwai, Elizabeth Gilliam, Michael Ryan, Matthew Ryan, Leo Penn, Penelope Allen, Richard C. Sarafian",Sean Penn,27526
"Andy García, Christopher Lloyd, William Forsythe, Bill Nunn, Treat Williams, Jack Warden, Steve Buscemi, Fairuza Balk, Gabrielle Anwar, Christopher Walken, Michael Nicolosi, Sarah Trigger, David Stratton, Jenny McCarthy",Gary Fleder,400
"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Esther Vriesendorp, Arne Bang-Hansen, Thyrza Ravesteijn, Mil Seghers, Jan Decleir, Elsie de Brauw, Reinout Bussemaker, Marina de Graaf, Wimie Wilhelm, Fran Waller Zeper",Marleen Gorris,880
"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp, Douglas Henshall, Annette Badland, Chris Larkin, Anna Massey",Philip Haas,8447
"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken, Roma Maffia, Peter Strauss, Gloria Reuben, Marsha Mason, Miguel Nájera, Bill Smitrovich, G.D. Spradlin, Charles Carroll",John Badham,2086
"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Souleymane Dicko, Héloïse Rauth, Benoît Magimel, Edouard Montoute, Marc Duret, Joseph Momo, Vincent Lindon, Christophe Rossignon, Mathieu Kassovitz, Philippe Nahon, Zinedine Soualem, Rywka Wajsbrot, Olga Abrego, Laurent Labasse, Choukri Gabteni, Karin Viard",Mathieu Kassovitz,406
"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald, David Paymer, Duncan Fraser, Colleen Rennison, Caroline Elliott, Stellina Rusich",John Dahl,2045
"Meryl Streep, Clint Eastwood, Annie Corley, Victor Slezak, Jim Haynie, Sarah Kathryn Schmitt, Christopher Kroon, Phyllis Lyons, Debra Monk, Richard Lage, Michelle Benes, Alison Wiegert",Clint Eastwood,688
"Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, Brendan Gleeson, James Robinson, James Cosmo, Sean McGinley, Gerda Stevenson, Mhairi Calvey, Jeanne Marine, Sean Lawlor, Sandy Nelson, Alan Tall, Andrew Weir, Brian Cox, Peter Hanly, Stephen Billington, Tommy Flanagan, Rupert Vansittart, Tam White, Ian Bannen, David O'Hara, Peter Mullan, David Gant, Malcolm Tierney, Martin Murphy, Gerard McSorley, Bernard Horsfall, Richard Leaf, Liam Carney, Ralph Riach, Barry McGovern, John Kavanagh, Alun Armstrong, Julie Austin, Alex Norton, Michael Byrne, William Scott-Masson, Dean Lopata, Donal Gibson, Jimmy Chisholm, John Murtagh, David McKay, Niall O'Brien, Martin Dempsey, Jimmy Keogh, Joe Savino, Mal Whyte, Paul Tucker, Graeme Ford, Greg Jeloudov, Rana Morrison, Jer O'Leary",Mel Gibson,197
"Robert De Niro, Cybill Shepherd, Harvey Keitel, Jodie Foster, Peter Boyle, Leonard Harris, Albert Brooks, Diahnne Abbott, Gino Ardito, Martin Scorsese, Murray Moston, Richard Higgs, Bill Minkin, Bob Maroff, Victor Argo, Joe Spinell, Frank Adu, Brenda Dickson, Norman Matlock, Harry Northup, Harlan Cary Poe, Steven Prince, Peter Savage, Nicholas Shields, Ralph S. Singleton, Annie Gagen, Carson Grant, Mary-Pat Green, Debbi Morgan, Don Stroud",Martin Scorsese,103
"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore, Alan Alda, George Segal, Lily Tomlin, Josh Brolin, Richard Jenkins, Celia Weston, Glenn Fitzgerald, Beth Ostrosky, Cynthia Lamontagne, David Patrick Kelly, John Ford Noonan, Charlet Oberly, Nadia Dajani, Don Creech, Clarke Bittner, Tony Kruk, Jonathan Teague Cook, Steve Moreno, Tori Davis, Shawn Michael Howard, Suzanne Snyder",David O. Russell,2074
"Jason James Richter, Melody Kay, Kevin McNulty, Tracey Ellis, Jack Black, Carole Finn, Ryan Bollman, Freddie Jones, Julie Cox, Moya Brady, Tony Robinson, Thomas Petruo, Nicole Parker, Adrien Dorval",Peter MacDonald,27793
"Dirk Shafer, Mary Stein, Claudette Sutherland, Cal Bartlett, Vivian Paxton, Michael Ornstein, Beth Broderick, Cynthia Szigeti, Dennis Bailey, Charles Sloane, Phyllis Franklin, Bill Brochtrup, Fort Atkinson, Felix Montano, Thom Collins, Paul D. Fow, Lu Leonard, Mindy Sterling, Phil Donahue",Dirk Shafer,5757
,Sandip Ray,124639
