movieId,keywords
862,"jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life"
8844,"board game, disappearance, based on children's book, new home, recluse, giant insect"
949,"robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic"
710,"cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army"
1408,"exotic island, treasure, map, ship, scalp, pirate"
524,"poker, drug abuse, 1970s, overdose, illegal prostitution"
4584,"bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum"
5,"hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film"
8012,"gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con"
1710,"police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness"
451,"individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide"
902,"clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood"
63,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean"
687,"prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness"
139405,
577,"adultery, winter, obsession, television, new hampshire, narcissistic personality disorder"
807,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer"
8391,"professor, lgbt, woman director"
629,"law, relatives, theft, criminal, criminal mastermind, hungarian, sibling"
2054,"composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled"
4482,"love triangle, southern france, estate agent, menage a trois, van, woman director"
755,"dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor"
27526,"loss of daughter, hit-and-run driving , revenge, suspense, independent film, tragedy"
400,"father son relationship, bounty hunter, boat, way of life, coffin, denver, godmother, paranoia, hitman, friendship, psychopath, revenge, murder, independent film, mafia, diner, blood, gangster, violence, illegal prostitution, extramarital affair"
880,"suicide, underdog, free love, philosophy, rape, mentally disabled, loss of mother, village life, world war ii, feminism, indian summer , family history, widow, peasant, village, mathematics, freedom, right and justice, single, homosexuality, mother daughter relationship, domestic violence, university, woman director"
8447,"class society, rich woman - poor man, scientist, naturalist, insect"
2086,"assassination, train station, politics, los angeles"
406,"paris, neo-nazi, skinhead, robbery, police brutality, hip-hop, gun, socially deprived family, breakdance, arabian, boredom, revenge, suburb, violence, police officer, unemployment, capture, xenophobia"
2045,"wife husband relationship, experiment, police, murder, suspense, memory, forensic, gunman, animal experimentation"
688,"farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary"
197,"individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny"
103,"vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner"
2074,"lsd, looking for  birth parents, half-brother, independent film"
27793,"flying, magic"
5757,"homosexuality, independent film, mockumentary"
124639,
568,"moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident"
414,"riddle, dc comics, rose, gotham city, partner, superhero, robin, broken neck, psychologist, violence, criminal, district attorney, millionaire, falling down stairs, tied up, tommy gun, beretta, knocked out, super powers, disfigurement, father figure"
